Date,Price,Open,High,Low,Vol.,Change %
"Dec 24, 2014",1285.6,1177,1179.3,1173.7,0.02K,-0.32%
"Dec 23, 2014",1289.7,1179.3,1180.3,1175,0.23K,0%
"Dec 22, 2014",1289.7,1198,1198,1172.7,0.22K,-1.22%
"Dec 19, 2014",1305.6,1198,1200.8,1196.5,0.10K,0.13%
"Dec 18, 2014",1303.9,1189.7,1207.3,1189.7,0.20K,0.12%
"Dec 17, 2014",1302.3,1198.2,1199.6,1184,0.09K,0.02%
"Dec 16, 2014",1302,1197.2,1222,1192.7,0.22K,-1.19%
"Dec 15, 2014",1317.7,1223.1,1223.1,1198,0.08K,-1.18%
"Dec 12, 2014",1333.5,1227.8,1227.8,1216.2,0.20K,-0.66%
"Dec 11, 2014",1342.3,1226.6,1232,1216.2,0.26K,-0.24%
"Dec 10, 2014",1345.5,1231.2,1234.6,1226.6,0.31K,-0.35%
"Dec 09, 2014",1350.2,1202,1238,1202,0.31K,2.72%
"Dec 08, 2014",1314.4,1190.6,1207,1187.2,0.18K,0.27%
"Dec 05, 2014",1310.8,1203.1,1206,1186.7,0.56K,-1.01%
"Dec 04, 2014",1324.2,1208.2,1213,1201.6,0.36K,-0.12%
"Dec 03, 2014",1325.8,1198.1,1213.7,1196.1,0.44K,0.84%
"Dec 02, 2014",1314.7,1212.3,1212.3,1191.3,1.24K,-1.34%
"Dec 01, 2014",1332.5,1160,1220.4,1141.7,5.52K,3.2%
"Nov 28, 2014",1291.2,1197,1198.3,1163.8,11.18K,8.61%
"Nov 27, 2014",1188.8,1197.3,1199.3,1185.4,-,-9.56%
"Nov 26, 2014",1314.5,1200.5,1201,1193.7,75.30K,-0.05%
"Nov 25, 2014",1315.2,1197.1,1197.1,1197.1,0.00K,0.08%
"Nov 24, 2014",1314.2,1197.7,1197.9,1196.5,0.02K,-0.13%
"Nov 21, 2014",1315.9,1191,1202.4,1189,0.02K,0.53%
"Nov 20, 2014",1308.9,1191.8,1191.9,1190.7,0.00K,-0.34%
"Nov 19, 2014",1313.4,1196.5,1198.3,1190,0.02K,-0.16%
"Nov 18, 2014",1315.5,1197.1,1197.1,1193.9,0.00K,0.91%
"Nov 17, 2014",1303.7,1183.1,1186.9,1180.6,0.02K,-0.15%
"Nov 14, 2014",1305.6,1155.2,1191,1148,0.49K,1.89%
"Nov 13, 2014",1281.4,1163.7,1164.5,1155,1.05K,0.08%
"Nov 12, 2014",1280.4,1162.5,1168.1,1157.5,0.02K,-0.37%
"Nov 11, 2014",1285.1,1155,1170.5,1151.6,0.02K,0.3%
